in-rho_O,in-rho_O2,in-Th,in-Tv,in-t,out-Y_O,out-Y_O2,out-Th,out-Tv
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.7189585619E-11,9.4045108206E-02,9.0595489179E-01,3.1861895288E+03,1.0723590626E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.7561481475E-11,9.4045108157E-02,9.0595489184E-01,3.1861878854E+03,1.0723656996E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.7937096290E-11,9.4045108108E-02,9.0595489189E-01,3.1861862255E+03,1.0723724029E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.8316467253E-11,9.4045108059E-02,9.0595489194E-01,3.1861845491E+03,1.0723791731E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.8699631926E-11,9.4045108009E-02,9.0595489199E-01,3.1861828559E+03,1.0723860111E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.9086628245E-11,9.4045107959E-02,9.0595489204E-01,3.1861811458E+03,1.0723929173E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.9477494527E-11,9.4045107908E-02,9.0595489209E-01,3.1861794185E+03,1.0723998925E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,2.9872269473E-11,9.4045107856E-02,9.0595489214E-01,3.1861776741E+03,1.0724069375E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.0270992167E-11,9.4045107805E-02,9.0595489220E-01,3.1861759122E+03,1.0724140528E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.0673702089E-11,9.4045107752E-02,9.0595489225E-01,3.1861741326E+03,1.0724212392E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.1080439110E-11,9.4045107699E-02,9.0595489230E-01,3.1861723353E+03,1.0724284974E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.1491243501E-11,9.4045107646E-02,9.0595489235E-01,3.1861705201E+03,1.0724358281E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.1906155936E-11,9.4045107592E-02,9.0595489241E-01,3.1861686866E+03,1.0724432320E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.2325217495E-11,9.4045107537E-02,9.0595489246E-01,3.1861668349E+03,1.0724507099E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.2748469670E-11,9.4045107482E-02,9.0595489252E-01,3.1861649647E+03,1.0724582625E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.3175954367E-11,9.4045107427E-02,9.0595489257E-01,3.1861630757E+03,1.0724658906E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.3607713911E-11,9.4045107370E-02,9.0595489263E-01,3.1861611679E+03,1.0724735948E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.4043791050E-11,9.4045107313E-02,9.0595489269E-01,3.1861592410E+03,1.0724813760E+03
6.0832478805E-03,5.8601112291E-02,3.1863097000E+03,1.0718736700E+03,3.4484228960E-11,9.4045107256E-02,9.0595489274E-01,3.1861572948E+03,1.0724892350E+03
